epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4298.63,1.1822,2.84042,0.15968,0.71284,0.95351,0.94731,0.92443,0.96363,0.66596,0.79965,0.75902,0.67034,0.51505,1.08633,2.72694,0.06165,0.65237,0.948,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4390.89,1.16889,2.77258,0.1662,0.69708,0.95479,0.96427,0.90932,0.9634,0.67322,0.82679,0.78153,0.74333,0.57971,1.07156,2.43653,0.06167,0.63265,0.94231,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,4483.33,1.16941,2.60086,0.17029,0.69635,0.95737,0.94847,0.9068,0.9614,0.66402,0.82033,0.78589,0.7257,0.56928,1.06226,2.42045,0.06148,0.64469,0.94254,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,4575.85,1.1698,2.82522,0.15823,0.7036,0.95115,0.94572,0.92163,0.96377,0.67538,0.80185,0.78212,0.71067,0.55441,1.05961,2.544,0.05708,0.63674,0.94016,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,4668,1.18101,2.84588,0.16707,0.71392,0.94866,0.94043,0.92947,0.9667,0.66928,0.81448,0.79619,0.71893,0.54372,1.08348,2.55566,0.05879,0.65591,0.94261,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,4760.94,1.15626,2.66871,0.16082,0.68948,0.94676,0.95693,0.93325,0.97309,0.67788,0.79494,0.78212,0.7133,0.56249,1.06643,2.66563,0.05866,0.6416,0.94462,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,4854.48,1.13349,2.61057,0.1624,0.68528,0.94269,0.9689,0.90248,0.9697,0.68082,0.80605,0.75897,0.69662,0.55418,1.04641,2.58385,0.05929,0.63304,0.93694,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,4946.13,1.1379,2.63632,0.16082,0.67734,0.94055,0.95553,0.9202,0.96749,0.68811,0.7991,0.77582,0.69015,0.54804,1.017,2.6955,0.05678,0.61365,0.93037,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5038.57,1.14717,2.68338,0.1673,0.6871,0.94726,0.94684,0.91969,0.96311,0.67936,0.78476,0.76226,0.68689,0.55078,1.04095,2.6288,0.05862,0.62329,0.93545,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,5130.65,1.14482,2.79363,0.1678,0.68478,0.94512,0.94247,0.93325,0.97135,0.68262,0.80734,0.77582,0.72769,0.57843,1.03418,2.52872,0.05982,0.61698,0.9361,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
