epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,4679.38,1.15951,2.76644,0.17585,0.68071,0.94536,0.9523,0.91942,0.96968,0.67347,0.76654,0.72432,0.65106,0.49511,1.05674,3.0778,0.06296,0.6241,0.93629,0.001505,0.001505,0.001505
52,4770.2,1.13682,2.69107,0.16579,0.67496,0.94375,0.97441,0.91149,0.97487,0.69447,0.7991,0.75665,0.69068,0.54606,1.01025,2.68902,0.05819,0.61279,0.9277,0.0014951,0.0014951,0.0014951
53,4861.35,1.14362,2.82471,0.17386,0.67794,0.94705,0.95126,0.94055,0.97837,0.68453,0.80936,0.7675,0.69907,0.54147,1.0437,2.61407,0.06098,0.59754,0.92693,0.0014852,0.0014852,0.0014852
54,4952.12,1.12859,2.73265,0.16297,0.65148,0.94154,0.96237,0.93263,0.97352,0.69067,0.8234,0.7822,0.72636,0.57432,1.01958,2.5328,0.05861,0.59998,0.91928,0.0014753,0.0014753,0.0014753
55,5043.23,1.14212,2.74972,0.16254,0.66781,0.93791,0.96968,0.9294,0.97409,0.69591,0.79612,0.7675,0.67849,0.52082,1.01114,2.76037,0.05647,0.60097,0.92329,0.0014654,0.0014654,0.0014654
56,5134.07,1.11751,2.60409,0.17071,0.65658,0.9339,0.96296,0.9272,0.97109,0.68201,0.79023,0.77675,0.69004,0.53752,1.02582,2.67105,0.06001,0.61717,0.92856,0.0014555,0.0014555,0.0014555
57,5224.44,1.1183,2.60469,0.16468,0.65358,0.93578,0.97181,0.95648,0.98005,0.6996,0.81891,0.8005,0.73558,0.56797,1.00384,2.52109,0.05435,0.57992,0.91792,0.0014456,0.0014456,0.0014456
58,5315.81,1.11081,2.462,0.16387,0.64891,0.93499,0.98101,0.9247,0.97862,0.69599,0.82867,0.78203,0.72251,0.57766,1.02568,2.46723,0.05594,0.6016,0.92193,0.0014357,0.0014357,0.0014357
59,5406.85,1.1157,2.62255,0.16381,0.65103,0.93331,0.9584,0.94353,0.97383,0.69274,0.82756,0.79921,0.74888,0.59213,1.01973,2.41904,0.05702,0.59843,0.92074,0.0014258,0.0014258,0.0014258
60,5497.51,1.10821,2.5928,0.161,0.64901,0.93087,0.95038,0.93621,0.9749,0.69406,0.8095,0.78071,0.72859,0.57562,1.02392,2.58928,0.05525,0.58742,0.92119,0.0014159,0.0014159,0.0014159
61,5588.3,1.11008,2.59605,0.16794,0.65447,0.93785,0.96992,0.93705,0.97724,0.6972,0.79912,0.76354,0.67534,0.531,1.02113,2.74941,0.05821,0.59346,0.92358,0.001406,0.001406,0.001406
62,5678.88,1.09983,2.63096,0.15925,0.64251,0.93037,0.9475,0.95355,0.97746,0.70976,0.83193,0.81738,0.74149,0.58927,0.9819,2.32472,0.0544,0.57499,0.9155,0.0013961,0.0013961,0.0013961
63,5769.63,1.09177,2.52096,0.16769,0.64147,0.9259,0.97655,0.93534,0.97649,0.70996,0.83869,0.80185,0.73638,0.59762,0.98404,2.296,0.05723,0.5814,0.9115,0.0013862,0.0013862,0.0013862
64,5860.55,1.08111,2.54865,0.16204,0.64003,0.92449,0.95028,0.92867,0.9718,0.69588,0.76038,0.73976,0.63268,0.49504,1.00347,2.86234,0.05492,0.59417,0.91911,0.0013763,0.0013763,0.0013763
65,5951.44,1.07827,2.43598,0.1709,0.6348,0.9248,0.96156,0.94452,0.97911,0.71338,0.81141,0.79128,0.71364,0.57145,0.96096,2.54809,0.05764,0.56025,0.90399,0.0013664,0.0013664,0.0013664
66,6042.39,1.08273,2.45119,0.16397,0.6368,0.92534,0.96641,0.94848,0.98143,0.71692,0.82741,0.80978,0.74565,0.59687,0.95999,2.29197,0.05522,0.57355,0.90604,0.0013565,0.0013565,0.0013565
